,skill,cluster
236,use of special equipment for daily activities,13
237,sell amusement park tickets,19
238,electroplating metal materials,17
239,cut vacuum formed workpiece,24
240,conduct customer identification,16
241,indicators used in EU funds programme operations,3
242,represent union members,5
243,tend notching machines,6
244,make photographic storyboards,4
245,conduct soil sample tests,8
246,store kitchen supplies,11
247,prepare examinations for vocational courses,3
248,geothermal energy,21
249,systems development life-cycle,19
250,condense information,3
251,provide advice on furniture maintenance,2
252,conduct flight proficiency checks,14
253,perform improvisation,23
254,assess performance in sport events,0
255,BlackBerry,5
256,maintain grading equipment,8
257,clean beer pipes,11
258,provide emergency training,0
259,inspect sewers,2
260,manage grain storage,9
261,remove dust,24
262,analyse test data,2
263,make data-driven decisions,2
264,provide education management support,3
265,operate sand blasting cabinet,11
266,address problems critically,3
267,culture aquaculture hatchery stocks,3
268,work as a team in a hazardous environment,3
269,monitor water quality,1
270,teach veterinary science,0
271,defense system,1
272,provide information to customers on tobacco products,15
273,protective measures against the introduction of organisms,10
274,use manual knitting techniques,11
275,law of non-marital cohabitation,20
276,understand the needs of animals,0
277,inspect silo systems,9
278,assess felled timber quality,6
279,prepare the floor for performance,16
280,represent company in exhibitions,19
281,operate material handling equipment,13
282,work on excavation site,2
283,carry out makeover for customers,16
284,develop store design,2
285,maintain vehicle delivery documentation,8
286,interview insurance claimants,14
287,perform kiln maintenance,24
288,keep records on sales,16
289,evaluation of psychological performance,3
290,operate landscaping equipment,10
291,assess studio production,6
292,contribute to continuity of health care,12
293,rope lashing,11
294,advertising techniques,13
295,search for a suitable filming location,7
296,ceramics glazes,24
297,provide clinical psychological counselling,12
298,handle freight inspection equipment,14
299,perform dimensionality reduction,3
300,perform dosimetry measurements,4
301,VBScript,2
302,experimental psychology,3
303,advise customers on books selection,2
304,market entry planning,4
305,work on uneven surfaces,11
306,allocate badges,19
307,advise on public relations,5
308,monitor pumping system operations,6
309,operate specialised equipment in emergency,0
310,evaluate interview reports,13
311,liaise with financiers,19
312,make reservations,0
313,operate washer extractor,2
314,inorganic chemistry,1
315,aquaculture production planning software,3
316,collaborate on costume and make-up for performances,16
317,assist with vaccination procedures,5
318,contribute to the development of a sporting estate,7
319,carry out forum moderation,5
320,assess power needs,17
321,display medical problems,12
322,negotiate supplier arrangements,16
323,operate forging tongs,6
324,maintain stocks of veterinary materials,0
325,food hygiene rules,11
326,assemble mechatronic units,6
327,surface engineering,11
328,detect flaws in record,6
329,develop solutions for harmful behaviour,3
330,clean parts of vessels,3
331,apply pre-teaching methods,3
332,evaluate cultural venue visitor needs,18
333,ethics,3
334,ensure operability of protective equipment,0
335,provide pre-treatment information,12
336,create a work environment where performers can develop their potential,23
337,follow research on special needs education,1
338,respond to changing situations in fishery,3
339,monitor well costs,8
340,aviation English,14
341,make price recommendations,16
342,determine tunnel boring machine speed,6
343,enforce company values,4
344,manage ethical dilemmas in genetic testing,8
345,lead disaster recovery exercises,2
346,digital game creation systems,5
347,lubricate rolling stock wheels,2
348,qualitative risk analysis techniques,14
349,deal with arrivals in accommodation,19
350,public offering,3
351,press rubberized fabrics,11
352,compare contractors' bids,16
353,label stamps,2
354,operate telescopes,4
355,install concentrated solar power systems,1
356,attend to detail,3
357,advise on strategies for special needs students,1
358,identify gemstones,24
359,describe your artistic aspirations in relation to artistic trends,7
360,advise on equipment maintenance,1
361,persist,5
362,write Slovenian,18
363,understand written Urdu,18
364,plan artistic production activities,7
365,test concrete,7
366,hardware components suppliers,6
367,provide support in financial calculation,19
368,organise information,17
369,inspect airside area facilities,19
370,plan rig moves,6
371,act as a resource person in dance,23
372,cool candles in baths,1
373,motivate staff to reach sales targets,16
374,coordinate security,0
375,conditions for the professional practice of psychotherapy,12
376,sell gaming software,16
377,manage visual communications,7
378,interview focus groups,13
379,prepare ready-made dishes,16
380,understand spoken Greek,18
381,beverage products,22
382,environmental design,10
383,perform vehicle tests,8
384,types of orthopedic supplies,6
385,install wood heater,21
386,conduct public relations related to the activities of a charity,1
387,monitor military equipment use,8
388,assist at check-in,3
389,principles of artificial intelligence,7
390,assemble electronic units,7
391,develop specifications of technical textiles,11
392,register death,8
393,clean vending machines,15
394,Adobe Illustrator,7
395,take and analyse blood pressure,4
396,mechanical engineering applicable to edible oil seed,15
397,mount photos,7
398,mark film reels,7
399,evaluate employees work,1
400,write Dutch,18
401,sustainable development goals,10
402,perform debt investigation,8
403,risk modelling,14
404,tally lumber,6
405,circular economy,19
406,coordinate the allocation of Mode S radars to Interrogator Codes,2
407,classical languages,18
408,oil sweetening processes,22
409,adapt efficient food processing practices,15
410,measure yarn count,11
411,animal species,0
412,organise tree plantations,6
413,prepare the restaurant for service,1
414,operate maritime lifting equipment,6
415,conduct impact evaluation of ICT processes on business,5
416,perform property market research,4
417,promote foot health,3
418,asphalt mixes,11
419,adjust bag inside tyres,14
420,contact lens fitting techniques,7
421,trade union regulations,14
422,operate tram system monitoring equipment,14
423,regulate cutting speed,24
424,concurrent estate,8
425,health and safety hazards underground,2
426,monitor cashiers,8
427,sell cosmetics,16
428,footwear and leather goods marketing planning,3
429,distributed computing,2
430,instrumentation equipment,6
431,engineering processes,6
432,Scratch (computer programming),2
433,operating systems,6
434,analyse big data,2
435,prepare flight reports,14
436,supervise art gallery staff,7
437,diagnose education problems,3
438,printing plate making,11
439,analyse stress resistance of products,22
440,use tribometer,7
441,pump paint,7
442,psychological effects of war,3
443,software design methodologies,2
444,hairdressing,3
445,create strategic maps,2
446,interact verbally in Berber,18
447,identify electronic signals,17
448,monitor museum environment,8
449,tend bakery ovens,15
450,work in an organised manner,3
451,CAD for footwear,3
452,develop efficiency plans for logistics operations,14
453,conduct research on reproductive medicine,13
454,create social alliances,13
455,implement instructions,21
456,set up machine controls,17
457,demonstrate use of hardware,17
458,monitor developments used for food industry,15
459,clean public areas,11
460,use metalworking tools,24
461,manage land resources permits,14
462,test wireless devices,8
463,WordPress,17
464,manage pest and weed control,10
465,communicate mine equipment information,2
466,own management skills,1
467,manage personnel,1
468,perform puja,11
469,ensure annual safety inspections,0
470,trading law,14
471,groom carpets,16
472,scaffolding components,19
473,identify damage to public space,14
474,fit low vision aids,7
475,electronic equipment standards,4
476,stock market,4
477,understand written Korean,18
478,pharmaceutical industry,1
479,maintain air conditioning systems,21
480,think proactively to secure sales,16
481,preset costumes,16
482,dispose waste,10
483,prepare exhibition marketing plan,2
484,collect cyber defence data,1
485,use polishing compounds,24
486,deliver Pilates exercises,0
487,prepare floor for underlayment,7
488,apply brazing techniques,7
489,organise property viewing,8
490,metal smoothing technologies,24
491,design failover solutions,3
492,apply arc welding techniques,2
493,write Bengali,18
494,perform environmental remediation,10
495,develop interregional collaboration strategies,13
496,inspect glass sheet,11
497,work with broad variety of personalities,3
498,prepare freight shipment reports,14
499,maintain availability of spare parts,6
500,calibrate mechatronic instruments,6
501,create media schedule,3
502,construction products,19
503,prepare patients for imaging procedures,7
504,perform safety data analysis,0
505,develop educational resources,3
506,work independently in landscaping,3
507,develop personal skills,3
508,establish customer rapport,16
509,hydraulic fracturing,6
510,roofing drones,0
511,understand spoken Kurdish,18
512,cooperate with colleagues,13
513,oversee operational safety on trains,14
514,web services,17
515,legal standards in gambling,5
516,interact verbally in Estonian,18
517,develop work plans to solve problems,3
518,practice emergency stops,0
519,solicit event publicity,19
520,secure the liner,11
521,crime victims' rights,20
522,inspect masonry work,7
523,mould vinyl records,8
524,comply with the planned time for the depth of the dive,1
525,use databases,4
526,use handbrake,7
527,determine suitability of materials,24
528,measure temperature ,6
529,manage digital archives,8
530,psychoanalysis,12
531,Vyper,13
532,design building envelope systems,7
533,assist in clinical trials,20
534,fertiliser products,10
535,produce wind musical instrument components,23
536,tend paint mixer,9
537,recommend newspapers to customers,13
538,liaise with union officials,19
539,applied therapeutics related to medicines,1
540,establish green roof,10
541,communicate price changes,16
542,manage maintenance operations,1
543,search for explosive devices,13
544,agroecology,10
545,orchestrate music,23
546,assess transport risks,14
547,conduct quality assurance checks on aircraft cargo,2
548,perform ICT security testing,5
549,supervise special visitors,0
550,operate screen printing equipment for textiles,11
551,apply medical first aid on board ship,3
552,advise on architectural matters,2
553,supervise work on design planning,2
554,construction product regulation,19
555,clear drill sites,2
556,operate pumps for fire extinguishing,2
557,prescribe treatment for musculoskeletal injuries,12
558,psychosomatics,12
559,animal training,0
560,teach ESOL language class,3
561,natural language processing,13
562,optomechanical engineering,7
563,resolve banking issues,8
564,outdoor advertising,13
565,negotiate improvement with suppliers,16
566,stages of bereavement,18
567,radioactive contamination,10
568,manage rainwater,1
569,analyse body fluids,4
570,geochronology,8
571,maintain professional administration,1
572,adapt artistic plan to location,7
573,convey medical routine information,12
574,comply with regulations on unpaved areas of airports,14
575,green building practices,10
576,cover V-belts with fabric,11
577,understand written Catalan,18
578,cut wires,11
579,bend wire,11
580,conduct chiropractic examination,12
581,inspect hazardous freight in accordance with regulations,14
582,manage time in landscaping,3
583,stock the bar,11
584,maintain work environments in a veterinary practice,0
585,supervise crop production,10
586,prepare flower arrangements,3
587,deliver sophrology exercises,12
588,acupressure,12
589,create smooth wood surface,24
590,heat metals,24
591,perform forensic preservations of digital devices,2
592,follow translation quality standards,18
593,conduct visits to the postmortem room,18
594,analyse election procedures,5
595,place mirrors,2
596,inspect electronics supplies,2
597,tend drying tunnels,6
598,feed additives,10
599,promote the use of sustainable transport,14
600,provide connected car solutions,14
601,coordinate audio system programmes,23
602,press law,20
603,tattoo customers,2
604,prepare equipment for harvest,8
605,maintain database security,1
606,select design elements,24
607,investment banking,8
608,handle forest products,6
609,write prescriptions for medication in dentistry,20
610,process customer orders,16
611,install lift shaft support equipment,6
612,behavioural neurology,3
613,design component interfaces,2
614,create project specifications,3
615,remove contaminated materials,10
616,perform inspection analysis,1
617,Joomla,17
618,assemble ammunition,5
619,maintain chiropractic equipment,12
620,write work-related reports,8
621,maintain work standards,4
622,design advocacy campaigns,7
623,read checked baggage tags,2
624,meteorology,21
625,move filled moulds,21
626,strive for company growth,4
627,control slate chutes,11
628,design harmonious architecture,2
629,sell services,16
630,provide youth information services,1
631,query languages,4
632,electromagnetism,17
633,develop new welding techniques,2
634,metal drawing processes,24
635,liaise with animal welfare agencies,0
636,zoo exhibit design,0
637,meet commitments,2
638,sell second-hand merchandise,16
639,characteristics of faces,4
640,shape ornamental design,7
641,operate a lighting console,16
642,hydrotherapy,12
643,work in an aviation team,14
644,investigate competition restrictions,16
645,operate fibreglass spray gun,11
646,collect domestic waste,10
647,maintain water treatment equipment,1
648,organise operations of residential care services,12
649,advise healthcare users on occupational health,3
650,energy conservation,17
651,advise on market strategies,4
652,manage water flows and catchments,1
653,advise customers on preparation of meat products,15
654,write Slovak,18
655,crimp wire,11
656,translate requirements into visual design,3
657,yeast fermentation principles,22
658,use jewellery equipment,24
659,coordinate events,0
660,study ancient inscriptions,8
661,use thermal analysis,21
662,"manage data, information and digital content",17
663,kiln types,24
664,anticipate shipment handling requirements,14
665,store warehouse goods,19
666,manage company fleet,14
667,hazardous materials transportation,14
668,periodisation,13
669,tend automatic sewing machines,11
670,private law,20
671,carry out calculations,2
672,household products,16
673,supervise court hearings,20
674,perform tests on airport vehicles,14
675,distinguish lumber categories,6
676,assess museum object condition,19
677,SPARQL,4
678,analyse milled grains,9
679,types of ammunition,2
680,model sets,13
681,manufacture woven fabrics,11
682,repair wigs,3
683,organise training,3
684,create safe working protocols,5
685,standard sizing systems for clothing,16
686,process data,1
687,apply scientific methods,13
688,prepare shipments in time,14
689,train medical students ,12
690,video conferencing tool,7
691,find grants,1
692,provide information on trade-in options,14
693,prevent theft,1
694,engraving technologies,2
695,negotiate sale of commodities,16
696,conduct spontaneous child deliveries,21
697,check the quality of raw materials at reception,24
698,alternative fuels,17
699,analyse marketplace competition in rental industry,16
700,pipeline coating properties,11
701,work with playwrights,23
702,solve problems in healthcare,12
703,apply psychoanalysis,12
704,position stair carriage,2
705,encourage social service users to preserve their independence in their daily activities,3
706,evaluate prospective foster parents,20
707,design natural gas processing systems,21
708,develop the look of a production,6
709,pest control in plants,10
710,law enforcement,5
711,apply floor adhesive,16
712,perform with motion capture equipment,7
713,pass on trade techniques,14
714,provide investment advice,19
715,host wine-tasting events,22
716,provide animal training,0
717,process customer requests based on the REACh Regulation 1907 2006,0
718,funding methods,1
719,explain quality of carpets,16
720,application usability,2
721,elective astrology,4
722,perform studies and field investigation,13
723,manage clinical environments,12
724,operate gas extraction equipment,17
725,handle challenging situations in fishery operations,3
726,sell hair products,3
727,airworthiness directives,21
728,lead a team in fishery services,3
729,transfer uncut audiovisual material to computer,23
730,colour glass,11
731,rebuff tyre,20
732,legal requirements of ICT products,5
733,market farm products,11
734,assess cocoa bean quality,15
735,astronomy,4
736,de-rig electronic equipment,6
737,test procedures,8
738,coordinate the running of a performance,13
739,ensure gender equality in the workplace,4
740,maintain motorcycle records,8
741,adhere to health well-being and safety,0
742,receive shipment packaging information,14
743,sustainability consulting,3
744,identify accounting errors,8
745,advertise auction sales,16
746,perform forensic accounting,2
747,use computer programs to improve patients' skills,2
748,plan shifts of employees,13
749,consult students on learning content,3
750,report utility meter readings,6
751,Pentaho Data Integration,4
752,develop membership strategies,4
753,write storylines,4
754,ICT quality policy,5
755,present evidence,20
756,genetic engineering,5
757,manage rented goods returns,16
758,compose digital game story,5
759,coordinate oil well operations,19
760,development economics,19
761,reed sensors,2
762,historic development of psychotherapeutic schools,12
763,project management methodology (PM²),13
764,provide on-site training in aquaculture facilities,3
765,maintain correspondence records,0
766,ensure compliance with construction project deadline,19
767,prepare meat products for use in a dish,15
768,manage second level engines,13
769,optimise fleet usability,14
770,use functional programming,2
771,determine cause of death,18
772,evaluate supporting team in community arts program,1
773,maintain statutory books,4
774,build props,13
775,genealogy,8
776,cued speech,3
777,paper production processes,11
778,clean waste materials from machines,10
779,methods of differential diagnosis,4
780,operate fishing equipment,3
781,manoeuvre bus,14
782,record lessons learnt from your sessions,3
783,participate in games for player distribution,5
784,set prices of menu items,16
785,coordinate with other emergency services,0
786,collect tourist information,19
787,centrifugal force,16
788,develop e-learning plan,3
789,position cross slide of a lathe,6
790,use spreadsheets,2
791,define an approach to your fight dicipline,0
792,provide operational efficiency training to employees,3
793,manage chiropractic staff,12
794,escapee contingency plans,11
795,horse riding,20
796,computational linguistics,18
797,hardware platforms,17
798,watch food product trends,15
799,prepare lifeboats,3
800,stabilise pH of starches,9
801,implement risk management in procurement,6
802,inform visitors at tour sites,0
803,"promote ideas, products, services ",16
804,analyse requirements for moving goods,3
805,respond to nuclear emergencies,20
806,integrated design,2
807,design original furniture,2
808,morphology,18
809,liaise with mine professionals,19
810,maintain vessel inventory,3
811,repair windshield wipers,6
812,provide advanced clinical practice in physiotherapy,12
813,prepare kiln firebox,24
814,wash oils,9
815,research areas for outdoor activity,1
816,manage plans for the storage of organic by-products,11
817,perform test run,8
818,supervise gas distribution operations,21
819,software frameworks,2
820,document management,8
821,manufacture man-made fibres,11
822,food product ingredients,15
823,prevent technical problems with lighting equipment,16
824,quantity surveying,2
825,manage licensing fees,8
826,"mining, construction and civil engineering machinery products",9
827,maintain relationships with government agencies,13
828,fresh water ecosystems,10
829,manage software localisation,0
830,carry out cheese production,21
831,maintain system layout for a production,6
832,select aquaculture equipment,3
833,prepare resin bath,11
834,maintain septic tanks,2
835,toys and games trends,13
836,finish plastic products,9
837,carry out security activities with a dog,0
838,use textile technique for hand-made products,11
839,provide anaesthetics to animals,12
840,maintain turf and grass,10
841,leather products maintenance,11
842,apply tramway regulations,14
843,hire background musicians,23
844,monitor filling machines,8
845,write leaflets,13
846,file documents,2
847,use earth sciences tools,2
848,assemble microelectronics,7
849,building materials industry,7
850,work in multidisciplinary health teams,12
851,carry out physical training,0
852,park vehicles,14
853,coach during a sports competition,23
854,understand spoken Icelandic,18
855,provide ICT consulting advice,5
856,operate masonry power saw,7
857,adjust fold plates,11
858,design dams,2
859,operate emergency vehicle,0
860,test optical components,7
861,maintain database performance,4
862,provide in-home support for disabled individuals,12
863,produce violin components,23
864,mentor individuals,1
865,attend sports training,0
866,ensure ongoing compliance with regulations,14
867,understand written Swedish,18
868,measure density of liquids,9
869,assist ambulance paramedics,18
870,assess the feasibility of implementing developments,13
871,prepare Pilates exercise session,0
872,integrated food-energy systems,15
873,arrange permits,14
874,electronics,17
875,develop an animal handling strategy,0
876,develop revenue generation strategies,16
877,basic chemicals,1
878,track shipping sites,14
879,assist water-based navigation,1
880,fill the mixing tank,9
881,provide emergency advice,0
882,aquatic species,3
883,medical devices materials,4
884,types of metal manufacturing processes,9
885,define database physical structure,4
886,safely detonate explosives,13
887,register deeds,8
888,receive key information about projects,19
889,position outriggers,7
890,maintain engraving equipment,2
891,develop virtual game engine,5
892,data warehouse,4
893,types of forging press,22
894,inspect waste disposal facilities,10
895,analyse internal factors of companies,4
896,biomedical engineering,5
897,operate plastic machinery,9
898,investigate manufacturing facilities,6
899,use audio reproduction software,23
900,provide assistance to lecturer,3
901,Georgian,18
902,contact customers,16
903,observe patient throughout dental treatment,20
904,operate laser plate maker machine,16
905,understand spoken Bihari,18
906,interpret urology diagnostic tests,4
907,plan dog grooming work,0
908,dig wells,2
909,prepared meals,15
910,canon law,20
911,consult credit score,8
912,torch temperature for metal processes,24
913,weigh merchandise,14
914,determine eye disease progression,4
915,prescribe exercises for controlled health conditions,0
916,run preventive simulations,13
917,insert charges into drill holes,2
918,interpret pedigree charts,2
919,advise on environmental risk management systems,14
920,carry out shipping orders for parts,11
921,set up aquaculture cage mooring system,19
922,maintain chain hoists,2
923,remove snow from airport operational areas,1
924,disassemble mobile devices,11
925,guide ships into docks,3
926,slice fish,3
927,operate sugar washing systems,22
928,livestock reproduction,10
929,operate fire extinguishers,2
930,measure working time in goods production,2
931,Internet of Things,17
932,observe teaching activities,3
933,collect samples,8
934,decide on wig making process,3
935,sociology applied to paramedical science,12
936,use reservoir surveillance,1
937,teach flying practices,14
938,advise legislators,5
939,analyse information systems,17
940,operate soldering equipment,9
941,write Greek,18
942,work in metal manufacture teams,3
943,manoeuvre heavy trucks,14
944,inform on toilet facilities malfunctions,11
945,adjust glass sheets,11
946,lay non-interlocking roof tiles,16
947,understand spoken Russian,18
948,create architectural sketches,7
949,use data processing techniques,4
950,wire security sensors,2
951,maintain dimmer equipment,6
952,provide information on wind turbines,21
953,manage contracts,16
954,wash hair,3
955,answer emergency calls,0
956,maintain hydraulic systems,6
957,electrical power safety regulations,17
958,operate hydraulic machinery controls,6
959,complete report sheets of activity,3
960,sell bicycles,20
961,implement exercise activities for animals,0
962,ethical hacking principles,1
963,demonstrate intercultural competences in hospitality services,18
964,plan music therapy sessions,23
965,hand out product samples,11
966,mechanotherapy,6
967,OpenEdge Advanced Business Language,3
968,contribute to the formulation of correctional procedures,20
969,monitor grounds,8
970,plan water resource development,1
971,ensure adherence to aerodrome procedures,14
972,tune instruments on stage,23
973,process latex mixtures,9
974,olfaction,13
975,transcription methods,2
976,process from cacao to chocolate,15
977,handle bulk transfer of raw material,24
978,advise on dating,2
979,assess patients after surgery,12
980,use digital device operating systems,6
981,perform scrambling operations,2
982,coordinate efforts of stakeholders for destination promotion,19
983,manage gambling game,5
984,tend V-belt covering machine,11
985,interpret seismic data,17
986,maintain privacy of service users,16
987,order supplies,11
988,locate microchip in animals,0
989,assist in the production of laboratory documentation,8
990,transfer fish,3
991,give interviews to media,5
992,handle cash flow,8
993,assess feeding behaviour of larvae,21
994,apply liquid chromatography,1
995,GIMP (graphics editor software),7
996,electrical machines,17
997,adjust paper cutter,24
998,monitor feeding systems,10
999,analyse latex samples,3
1000,toxicology,10
1001,manage mine site data,2
1002,apply assembling techniques for cemented footwear construction,3
1003,create innovative desserts,15
1004,stack timber,6
1005,human anatomy,4
1006,adapt to acting roles,23
1007,interact verbally in Slovak,18
1008,perform eye surgery,7
1009,promote organisational communication,5
1010,understand written Kurdish,18
1011,ensure full functioning of food plant machinery,10
1012,organise zoological exhibitions,0
1013,test motor vehicles under demanding conditions,8
1014,perform pre-assembly quality checks,7
1015,conduct routine machinery checks,2
1016,city road network,5
1017,give constructive feedback,5
1018,coordinate shipments of recycling materials,10
1019,oversee guest laundry service,1
1020,form continuous bands,4
1021,follow dentists' instructions,20
1022,provide customers with order information,16
1023,replace filled pallets,11
1024,operate machine tools,9
1025,percolation,13
1026,ornithology,12
1027,real estate underwriting,8
1028,lead police investigations,2
1029,carry out recruiting services,13
1030,exercise self-control,7
1031,ensure trains run to schedule,14
1032,apply hygiene standards,11
1033,decide on infestation treatment type,10
1034,translate spoken language simultaneously,18
1035,research family histories,8
1036,assess quality characteristics of food products,15
1037,logopaedics,13
1038,market research,4
1039,manufacturer's recommended price,16
1040,make independent operating decisions,1
1041,restore old guns,5
1042,cope with excrements,15
1043,draft music cue breakdown,23
1044,interact verbally in Telugu,18
1045,sustainable development goals ,10
1046,liaise with government officials,19
1047,apply information security policies,1
1048,tend wire drawing machine,6
1049,construction industry,19
1050,participate in governmental tenders,19
1051,maintain financial records,8
1052,keep up-to-date with regulations,14
1053,obtain healthcare user's medical status information,12
1054,operate automated stage movement control system,23
1055,modern brewing systems,22
1056,manufacturer's instructions for electrical household appliances,17
1057,apply modelling techniques in water engineering,1
1058,conduct research on fauna,8
1059,report to gaming manager,5
1060,prepare tyres for vulcanization,11
1061,negotiate prices for transport of cargo,14
1062,check quality of raw materials,24
1063,manage spat collection equipment,8
1064,manage information in health care,12
1065,create a financial report,19
1066,detect malfunctions in engines,6
1067,energy,17
1068,create a flight plan,14
1069,provide private transport services,14
1070,evaluate psychological health measures,3
1071,transfer luggage,14
1072,manipulate metal,9
1073,cosmetics industry,16
1074,understand spoken Galician,18
